T,Dk,Dv,dtype,mode,status,tensor,max_rel,one_minus_cos,dims
1024,64,128,bfloat16,bf16,ok,fwd out,0.006558,7.033e-06,64×128
1024,64,128,bfloat16,bf16,ok,fwd state,0.004326,4.292e-06,64×128
1024,64,128,bfloat16,bf16,ok,dq,0.004184,9.656e-06,64×128
1024,64,128,bfloat16,bf16,ok,dk,0.005282,1.15e-05,64×128
1024,64,128,bfloat16,bf16,ok,dv,0.006135,8.464e-06,64×128
1024,64,128,bfloat16,bf16,ok,dg,0.003682,7.749e-06,64×128
1024,64,128,bfloat16,bf16,ok,dbeta,0.003717,6.08e-06,64×128
4096,64,64,bfloat16,bf16,ok,fwd out,0.006603,7.033e-06,64×64
4096,64,64,bfloat16,bf16,ok,fwd state,0.005751,4.232e-06,64×64
4096,64,64,bfloat16,bf16,ok,dq,0.005208,9.537e-06,64×64
4096,64,64,bfloat16,bf16,ok,dk,0.005556,1.156e-05,64×64
4096,64,64,bfloat16,bf16,ok,dv,0.004695,8.464e-06,64×64
4096,64,64,bfloat16,bf16,ok,dg,0.004305,7.629e-06,64×64
4096,64,64,bfloat16,bf16,ok,dbeta,0.00474,5.901e-06,64×64
4096,128,128,bfloat16,bf16,ok,fwd out,0.007239,6.795e-06,128×128
4096,128,128,bfloat16,bf16,ok,fwd state,0.00424,4.113e-06,128×128
4096,128,128,bfloat16,bf16,ok,dq,0.00365,9.418e-06,128×128
4096,128,128,bfloat16,bf16,ok,dk,0.005291,1.109e-05,128×128
4096,128,128,bfloat16,bf16,ok,dv,0.007519,8.225e-06,128×128
4096,128,128,bfloat16,bf16,ok,dg,0.004682,7.272e-06,128×128
4096,128,128,bfloat16,bf16,ok,dbeta,0.002873,5.543e-06,128×128
4096,64,128,bfloat16,bf16,ok,fwd out,0.006858,6.974e-06,64×128
4096,64,128,bfloat16,bf16,ok,fwd state,0.004398,4.292e-06,64×128
4096,64,128,bfloat16,bf16,ok,dq,0.003704,9.656e-06,64×128
4096,64,128,bfloat16,bf16,ok,dk,0.006803,1.15e-05,64×128
